"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","Guntur","2023-10-17","2023","10","3.13907E-5","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-18","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-21","2023","10","0.0940289436","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-23","2023","10","0.0007846365","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-24","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-25","2023","10","0.0008070035","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-26","2023","10","0.0007551264","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-27","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-28","2023","10","0.1193223676","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-29","2023","10","0.0397542204","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-30","2023","10","0.2405932015","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-31","2023","10","0.0829986117","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-01","2023","10","3.453950354","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-07","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-08","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-09","2023","10","0.392665721","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-10","2023","10","1.1337994722","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-11","2023","10","7.3728849825","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-12","2023","10","0.0042582936","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-13","2023","10","0.0028115244","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-14","2023","10","0.1486582343","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-15","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-16","2023","10","0.0786205464","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-17","2023","10","0.0038568479","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-18","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-21","2023","10","0.6659148077","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-23","2023","10","7.9934E-6","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-24","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-25","2023","10","0.0003443352","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-26","2023","10","0.0040802129","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-27","2023","10","0.0007386261","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-28","2023","10","0.4127039444","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-29","2023","10","0.1018386618","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-30","2023","10","0.1065234404","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-31","2023","10","0.0002702399","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-01","2023","10","0.967469512","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-07","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-08","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-09","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-10","2023","10","1.24619E-5","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-11","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-12","2023","10","0.6603218446","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-13","2023","10","0.0243247904","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-14","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-15","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-16","2023","10","0.0009019624","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-17","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-18","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-21","2023","10","0.0492175555","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-23","2023","10","3.13048E-5","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-24","2023","10","0.0023518187","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-25","2023","10","0.0217536116","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-26","2023","10","2.94798E-5","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-27","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-28","2023","10","1.47399E-5","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-29","2023","10","0.0018603092","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-30","2023","10","0.0043835286","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-31","2023","10","0.0974899696","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-01","2023","10","6.9759732447","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-07","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-08","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-09","2023","10","5.644E-7","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-10","2023","10","0.0008767205","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-11","2023","10","0.1329381342","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-12","2023","10","0.6010968326","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-13","2023","10","0.0053175157","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-14","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-15","2023","10","0.0030564278","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-16","2023","10","0.0020593797","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-17","2023","10","0.0013003668","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-18","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-21","2023","10","0.0386208783","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-23","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-24","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-25","2023","10","0.0001097748","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-26","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-27","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-28","2023","10","0.0148567603","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-29","2023","10","0.0581720105","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-30","2023","10","0.251277967","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-31","2023","10","0.1417178239","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-01","2023","10","4.4470498625","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-07","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-08","2023","10","0.039622974","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-09","2023","10","5.26404E-5","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-10","2023","10","0.5174127988","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-11","2023","10","0.085121804","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-12","2023","10","0.0003362253","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-13","2023","10","0.0001722817","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-14","2023","10","0.0197131209","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-15","2023","10","0.435902301","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-16","2023","10","0.0996146386","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-17","2023","10","0.0004542076","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-18","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-21","2023","10","0.0579274213","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-23","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-24","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-25","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-26","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-27","2023","10","0.0001300165","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-28","2023","10","0.0021182221","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-29","2023","10","1.110193043","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-30","2023","10","0.3766139627","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-31","2023","10","2.962805801","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-10-01","2023","10","3.9803107025","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-10-07","2023","10","NA","NRSC VIC MODEL"
